"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_022/mat_arid_022.mat_arid_022","49","207","211","1","0.000000","0","211"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","49","20","20","2","17.132938","0","20"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_014/mat_arid_014.mat_arid_014","49","185","187","1","0.000000","0","187"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_015/mat_arid_015.mat_arid_015","49","185","187","1","0.000000","0","187"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_002/mat_arid_002.mat_arid_002","49","185","187","1","0.000000","0","187"
"/Game/ARID/3D_ARID/arid_ill_003_low/arid_ill_003_low.arid_ill_003_low","49","13","13","1","0.000000","0","13"
"/Game/ARID/3D_ARID/arid_ill_005_banner/mat_arid_005.mat_arid_005","49","13","13","1","0.000000","0","13"
"/Game/ARID/3D_ARID/arid_ill_006_banner/mat_arid_006.mat_arid_006","49","21","21","1","0.000000","0","21"
"/Game/ARID/3D_ARID/arid_ill_018_low/mat_arid_018.mat_arid_018","49","21","21","1","0.000000","0","21"
"/Game/ARID/3D_ARID/arid_ill_006_banner/Empty_001.Empty_001","49","13","13","1","15.457296","0","13"
"/Game/ARID/3D_ARID/arid_ill_018_banner/Empty.Empty","49","67","69","1","144.886063","0","69"
"/Game/ARID/3D_ARID/arid_ill_021_banner/Empty_001.Empty_001","49","67","69","1","0.000000","0","69"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_016/mat_arid_016.mat_arid_016","49","207","211","1","0.000000","0","211"
"/Game/ARID/3D_ARID/arid_ill_003_banner/Empty.Empty","49","67","69","1","0.000000","0","69"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_001/mat_arid_001.mat_arid_001","49","207","211","1","0.000000","0","211"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_004/mat_arid_004.mat_arid_004","49","185","187","1","0.000000","0","187"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_025/mat_arid_025.mat_arid_025","49","207","211","1","0.000000","0","211"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_008/mat_arid_008.mat_arid_008","49","185","187","1","0.000000","0","187"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_012/mat_arid_012.mat_arid_012","49","185","187","1","0.000000","0","187"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_017/mat_arid_017.mat_arid_017","49","207","211","1","0.000000","0","211"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_019/mat_arid_019.mat_arid_019","49","207","211","1","0.000000","0","211"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_024/mat_arid_024.mat_arid_024","49","207","211","1","0.000000","0","211"
"/Game/ARID/SPRITE_ARID_2D/sprite_arid_026/mat_arid_026.mat_arid_026","49","207","211","1","415.226685","0","211"
"/Game/ARID/3D_ARID/arid_ill_005_banner/Empty.Empty","49","67","69","1","0.000000","0","69"
"","49","512","0","1","0.000000","513","0"
"/Game/ARID/3D_ARID/arid_ill_021_low/mat_arid_021.mat_arid_021","49","21","21","1","0.000000","0","21"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","7","7","1","5.562960","0","7"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","66","66","1","4.707066","0","66"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","13","14","1","10.287382","0","14"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","49","7","7","1","7.095373","0","7"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial.ColorMaskBrushMaterial","49","10","10","1","9.319860","0","10"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","49","10","10","1","9.184024","0","10"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","21","21","1","14.302297","0","21"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","16","16","1","14.624789","0","16"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","22","22","1","36.237286","0","22"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","16","16","1","29.790564","0","16"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","16","16","1","25.751467","0","16"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","22","24","1","11.475134","0","24"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","1817","1840","1","301.812592","0","1840"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","7","7","1","4.633947","0","7"
"/ControlRig/M_Manip.M_Manip","49","13","14","1","0.000000","0","14"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","45","45","1","28.728691","0","45"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","80","80","1","32.124050","0","80"
